ID,Calculation view,ACT MTD Gross Sales,ACT MTD RebatesTender,ACT MTD RebatesTrade,ACT MTD RebatesWholesale
05-GF-10-N,Rebates Wholesale,"1170,00",0,0,
05-GF-10-R,Rebates Wholesale,"14040,00",0,0,
05-GW-10-M30,Rebates Wholesale,"911063,11",0,0,
05-GW-10-M30-10,Rebates Wholesale,"5941,91",-356.51459999999975,0,
05-GW-10-M40,Rebates Wholesale,"74856,92",0,0,
05-GW-10-M40-10,Rebates Wholesale,"4697,48",-281.84880000000004,0,
05-GW-10-M50,Rebates Wholesale,"186352,45",0,0,
05-GW-10-M50-10,Rebates Wholesale,"13211,65",-528.466,0,
05-GW-10-N,Rebates Wholesale,"424046,94",0,0,
05-GW-10-N-10,Rebates Wholesale,"63856,37",-10855.582899999998,0,
05-GW-10-R,Rebates Wholesale,"657938,24",0,0,
05-GW-10-R-10,Rebates Wholesale,"127712,74",-38313.822000000015,0,
11-ME-03-T2,Rebates Wholesale,"10719,78",0,0,
11-ME-03-T3,Rebates Wholesale,"58854,48",0,0,
11-ME-05-T2,Rebates Wholesale,"14850,00",0,0,
11-ME-05-T3,Rebates Wholesale,"109666,70",0,0,
11-ME-23-T2,Rebates Wholesale,"9804,00",0,0,
11-ME-23-T3,Rebates Wholesale,"94050,00",0,0,
11-MS-03-T2,Rebates Wholesale,"12984,25",0,0,
11-MS-03-T3,Rebates Wholesale,"64026,27",0,0,
11-MS-03-T9,Rebates Wholesale,"14585,19",0,0,
11-MS-04-T2,Rebates Wholesale,"8245,94",0,0,
11-MS-04-T3,Rebates Wholesale,"-81,49",0,0,
11-MS-05-T2,Rebates Wholesale,"21526,74",0,0,
11-MS-05-T3,Rebates Wholesale,"208539,00",0,0,
11-NE-35-T4-B2,Rebates Wholesale,"43595,56",0,0,
11-PI-31-T4,Rebates Wholesale,"132720,00",0,0,
11-PI-32-T4,Rebates Wholesale,"55440,00",0,0,-1582.24
11-PI-33-T4,Rebates Wholesale,"16948,00",0,0,-683.3400000000001
20234,Rebates Wholesale,"4944,56",0,-494.456,-367.07
20531,Rebates Wholesale,"2714,29",0,-950.0015,-3239.7100000000005
20532,Rebates Wholesale,"1261,57",0,-441.54949999999997,-1830.3400000000001
20534,Rebates Wholesale,"55000,00",0,-5500,-3000
20549,Rebates Wholesale,"6250,00",0,0,
20553,Rebates Wholesale,"2523,15",0,-883.1025,-1942.82
20684,Rebates Wholesale,"11648,00",0,-1164.8,-1712.04
20685,Rebates Wholesale,"17974,98",0,-1797.498,-2100
20692,Rebates Wholesale,"26915,00",0,-4037.25,-13356
20732,Rebates Wholesale,"68450,00",0,-10267.5,-19610
